season,season_type,week,player_display_name,player_position,team_abbr,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_gsis_id,player_first_name,player_last_name,player_jersey_number,player_short_name
2019,REG,0,Demaryius Thomas,WR,NYJ,5.832280702,2.47961691,9.905172414,14.32321857,36,58,62.06896552,433,1,5.134722222,4.493103539,0.641618683,00-0027874,Demaryius,Thomas,18,D.Thomas
2019,REG,0,Curtis Samuel,WR,CAR,5.82019802,2.565260402,14.51361905,30.58135335,54,105,51.42857143,627,6,2.925,3.046898111,-0.121898111,00-0033282,Curtis,Samuel,10,C.Samuel
2019,REG,0,Auden Tate,WR,CIN,5.800125,2.270224913,11.713375,19.66733829,40,80,50,575,1,3.9675,2.909482792,1.058017208,00-0034686,Auden,Tate,19,A.Tate
2019,REG,0,Mike Gesicki,TE,MIA,5.787575758,2.619313143,10.36831461,17.33639689,51,89,57.30337079,570,5,3.918431373,3.968177347,-0.049745974,00-0034829,Michael,Gesicki,88,M.Gesicki
2019,REG,0,John Ross,WR,CIN,5.786727273,2.94261503,14.93875,17.55803215,28,56,50,506,3,7.445714286,5.557815723,1.887898563,00-0033460,John,Ross,11,J.Ross III
2019,REG,0,Jordan Akins,TE,HOU,5.778484848,3.387950714,7.193454545,8.813465685,36,55,65.45454545,418,2,7.066944444,5.170535643,1.896408802,00-0034364,Jordan,Akins,88,J.Akins
2019,REG,0,Deebo Samuel,WR,SF,5.771447368,3.179719618,7.828888889,20.82698371,57,81,70.37037037,802,3,8.518245614,7.480086089,1.038159525,00-0035719,Tyshun,Samuel,19,D.Samuel
2019,REG,0,Eric Ebron,TE,IND,5.768444444,3.197176865,9.376346154,12.38468025,31,52,59.61538462,375,3,5.438064516,4.381942617,1.056121899,00-0031387,Eric,Ebron,85,E.Ebron
2019,REG,0,Golden Tate,WR,NYG,5.742658228,2.169495335,9.525764706,16.9505399,49,85,57.64705882,670,6,6.098571429,3.562728575,2.535842854,00-0027891,Golden,Tate,15,G.Tate
2019,REG,0,Damiere Byrd,WR,ARI,5.736888889,3.163584991,9.713913043,11.83769922,32,46,69.56521739,359,1,4.9153125,3.878387451,1.036925049,00-0031868,Damiere,Byrd,14,D.Byrd
2019,REG,0,Zach Pascal,WR,IND,5.731805556,2.824932574,11.54666667,21.11722989,41,72,56.94444444,607,5,5.864634146,5.341564808,0.523069338,00-0033251,Zachary,Pascal,14,Z.Pascal
2019,REG,0,Anthony Miller,WR,CHI,5.717368421,3.118218771,10.33847059,20.18713015,52,85,61.17647059,656,2,4.438461538,4.570962484,-0.132500945,00-0034353,Anthony,Miller,17,A.Miller
2019,REG,0,Sterling Shepard,WR,NYG,5.7105,3.129946215,9.937951807,17.26790851,57,83,68.6746988,576,3,3.318947368,3.216310781,0.102636587,00-0032385,Sterling,Shepard,87,S.Shepard
2019,REG,0,Marquez Valdes-Scantling,WR,GB,5.695535714,2.550962272,16.62553571,19.46413676,26,56,46.42857143,452,2,5.893076923,3.992972552,1.900104371,00-0034272,Marquez,Valdes-Scantling,83,M.Valdes-Scantling
2019,REG,0,Austin Hooper,TE,ATL,5.695176471,3.538620661,6.815979381,12.31292694,75,97,77.31958763,787,6,4.548133333,4.159845339,0.388287994,00-0032392,Austin,Hooper,81,A.Hooper
2019,REG,0,Julian Edelman,WR,NE,5.683943662,2.835081643,9.175882353,31.74457097,100,153,65.35947712,1117,6,3.5497,3.866232033,-0.316532033,00-0027150,Julian,Edelman,11,J.Edelman
2019,REG,0,Geronimo Allison,WR,GB,5.675098039,3.264178571,8.126363636,9.343948019,34,55,61.81818182,287,2,3.658823529,3.936451224,-0.277627695,00-0032626,Geronimo,Allison,81,G.Allison
2019,REG,0,Jason Witten,TE,DAL,5.671111111,3.343906281,6.458433735,10.04970013,63,83,75.90361446,529,4,2.812857143,3.05042452,-0.237567377,00-0022127,Christopher,Witten,82,J.Witten
2019,REG,0,Jarvis Landry,WR,CLE,5.659923077,2.587291263,9.802681159,29.92847361,83,138,60.14492754,1174,6,5.538072289,3.90637131,1.63170098,00-0031382,Jarvis,Landry,80,J.Landry
2019,REG,0,Kyle Rudolph,TE,MIN,5.64625,3.36194834,7.08625,10.02440232,39,48,81.25,367,6,5.167179487,4.621299255,0.545880232,00-0027981,Kyle,Rudolph,82,K.Rudolph
2019,REG,0,Dallas Goedert,TE,PHI,5.644571429,3.043636284,5.806976744,10.47452053,58,86,67.44186047,607,5,6.227586207,5.189632453,1.037953754,00-0034351,Dallas,Goedert,88,D.Goedert
2019,REG,0,Davante Adams,WR,GB,5.639669421,3.195246002,10.00181102,26.55546055,83,127,65.35433071,997,5,4.973012048,4.49159976,0.481412289,00-0031381,Davante,Adams,17,D.Adams
2019,REG,0,Jimmy Graham,TE,GB,5.615,3.893748261,9.219666667,11.56479509,38,60,63.33333333,447,3,6.818684211,6.237965062,0.580719148,00-0027696,Jimmy,Graham,80,J.Graham
2019,REG,0,Michael Gallup,WR,DAL,5.573982301,2.218196632,12.60486726,26.70327466,66,113,58.40707965,1107,6,5.365909091,3.994492009,1.371417082,00-0034764,Michael,Gallup,13,M.Gallup
2019,REG,0,Julio Jones,WR,ATL,5.556979866,2.163855111,12.28585987,35.92249644,99,157,63.05732484,1394,6,3.673737374,2.982769556,0.690967818,00-0027944,Quintorris,Jones,11,J.Jones
2019,REG,0,Will Fuller,WR,HOU,5.538142857,2.97122408,14.03507042,22.19828738,49,71,69.01408451,670,3,4.849591837,4.721914766,0.127677071,00-0033127,William,Fuller,15,W.Fuller
2019,REG,0,Willie Snead,WR,BAL,5.525365854,3.009347814,8.539782609,10.70509816,31,46,67.39130435,339,5,4.741612903,2.604988078,2.136624825,00-0030663,Willie,Snead,83,W.Snead IV
2019,REG,0,Odell Beckham,WR,CLE,5.51484375,2.583158398,13.25729323,39.00920573,74,133,55.63909774,1035,4,4.594054054,3.751833545,0.842220509,00-0031235,Odell,Beckham,13,O.Beckham
2019,REG,0,Adam Humphries,WR,TEN,5.512325581,2.913437429,7.198723404,8.926399548,37,47,78.72340426,374,2,3.466486486,3.841708678,-0.375222192,00-0032009,Adam,Humphries,10,A.Humphries
2019,REG,0,Hunter Henry,TE,LAC,5.490350877,2.585142808,10.22842105,15.7768478,55,76,72.36842105,652,5,3.308363636,3.533366351,-0.225002715,00-0033090,Hunter,Henry,86,H.Henry
2019,REG,0,Noah Fant,TE,DEN,5.487,2.71618084,7.843181818,15.18271168,40,66,60.60606061,562,3,8.4905,6.225926667,2.264573333,00-0035644,Noah,Fant,87,N.Fant
2019,REG,0,Tyler Boyd,WR,CIN,5.473178295,2.642543886,9.160878378,28.45590396,90,148,60.81081081,1046,5,4.157888889,3.820529478,0.337359411,00-0033009,Tyler,Boyd,83,T.Boyd
2019,REG,0,Josh Gordon,WR,SEA,5.430212766,2.397657302,11.38021277,12.09423587,27,47,57.44680851,426,1,6.007037037,5.512180103,0.494856934,00-0029664,Josh,Gordon,10,J.Gordon
2019,REG,0,Cameron Brate,TE,TB,5.421111111,2.570152218,7.151636364,6.182753867,36,55,65.45454545,311,4,2.779444444,2.759652465,0.01979198,00-0031273,Cameron,Brate,84,C.Brate
2019,REG,0,Amari Cooper,WR,DAL,5.394745763,2.555663039,12.84840336,28.66447069,79,119,66.38655462,1189,8,3.275189873,3.672941374,-0.397751501,00-0031544,Amari,Cooper,19,A.Cooper
2019,REG,0,Jack Doyle,TE,IND,5.390392157,3.531383293,7.117083333,13.01614476,43,72,59.72222222,448,4,5.391162791,5.367679341,0.023483449,00-0030181,John,Doyle,84,J.Doyle
