season,season_type,week,player_display_name,player_position,team_abbr,efficiency,percent_attempts_gte_eight_defenders,avg_time_to_los,rush_attempts,rush_yards,expected_rush_yards,rush_yards_over_expected,avg_rush_yards,rush_yards_over_expected_per_att,rush_pct_over_expected,rush_touchdowns,player_gsis_id,player_first_name,player_last_name,player_jersey_number,player_short_name
2019,REG,1,Ronald Jones,RB,TB,2.677333333,7.692307692,2.440769231,13,75,51.45316511,23.54683489,5.769230769,1.811294991,0.615384615,0,00-0034816,Ronald,Jones,27,R.Jones
2019,REG,1,Kerryon Johnson,RB,DET,4.31122449,62.5,2.8274375,16,49,60.41984068,-11.41984068,3.0625,-0.713740042,0.25,0,00-0034349,Kerryon,Johnson,33,K.Johnson
2019,REG,1,David Johnson,RB,ARI,3.959878049,0,2.861888889,18,82,92.40991188,-10.40991188,4.555555556,-0.578328438,0.388888889,0,00-0032187,David,Johnson,31,D.Johnson
2019,REG,1,Marlon Mack,RB,IND,2.828218391,4,2.86628,25,174,124.7986385,49.20136145,6.96,1.968054458,0.32,1,00-0033951,Marlon,Mack,25,M.Mack
2019,REG,1,Austin Ekeler,RB,LAC,3.735689655,25,3.300583333,12,58,64.98893474,-6.988934739,4.833333333,-0.582411228,0.333333333,1,00-0033699,Austin,Ekeler,30,A.Ekeler
2019,REG,1,Carlos Hyde,RB,HOU,2.622168675,0,2.9733,10,83,45.5245968,37.4754032,8.3,3.74754032,0.7,0,00-0031045,Carlos,Hyde,23,C.Hyde
2019,REG,1,LeSean McCoy,RB,KC,2.101604938,0,2.5608,10,81,50.1912048,30.8087952,8.1,3.08087952,0.4,0,00-0027029,LeSean,McCoy,25,L.McCoy
2019,REG,1,Christian McCaffrey,RB,CAR,2.41828125,26.31578947,2.388578947,19,128,83.53807829,36.46192171,6.736842105,2.025662317,0.555555556,2,00-0033280,Christian,McCaffrey,22,C.McCaffrey
2019,REG,1,Sony Michel,RB,NE,14.85785714,0,2.6444,15,14,62.13782134,-48.13782134,0.933333333,-3.209188089,0.066666667,0,00-0034845,Sony,Michel,26,S.Michel
2019,REG,1,Royce Freeman,RB,DEN,3.333392857,0,3.067,10,56,47.73842725,8.261572748,5.6,0.917952528,0.444444444,0,00-0034838,Royce,Freeman,28,R.Freeman
2019,REG,1,Miles Sanders,RB,PHI,7.8296,27.27272727,2.596909091,11,25,30.24440536,-5.244405357,2.272727273,-0.476764123,0.272727273,0,00-0035243,Miles,Sanders,26,M.Sanders
2019,REG,1,Alvin Kamara,RB,NO,3.063402062,7.692307692,2.865076923,13,97,62.732526,34.267474,7.461538462,2.635959538,0.461538462,0,00-0033906,Alvin,Kamara,41,A.Kamara
2019,REG,1,Derrick Henry,RB,TEN,4.264761905,42.10526316,2.865947368,19,84,88.12595981,-4.125959811,4.421052632,-0.21715578,0.315789474,1,00-0032764,Derrick,Henry,22,D.Henry
2019,REG,1,Dalvin Cook,RB,MIN,3.413693694,47.61904762,2.834190476,21,111,78.71027687,32.28972313,5.285714286,1.537605864,0.380952381,2,00-0033893,Dalvin,Cook,33,D.Cook
2019,REG,1,Saquon Barkley,RB,NYG,1.942916667,36.36363636,3.054363636,11,120,49.1575981,70.8424019,10.90909091,6.440218355,0.636363636,0,00-0034844,Saquon,Barkley,26,S.Barkley
2019,REG,1,Derrius Guice,RB,WAS,8.176111111,10,2.6224,10,18,47.71680217,-29.71680217,1.8,-2.971680217,0.1,0,00-0034358,Derrius,Guice,29,D.Guice
2019,REG,1,Matt Breida,RB,SF,7.096486486,20,2.886533333,15,37,53.29972133,-16.29972133,2.466666667,-1.086648089,0.2,0,00-0033308,Matthew,Breida,22,M.Breida
2019,REG,1,Malcolm Brown,RB,LAR,3.109622642,9.090909091,2.673727273,11,53,37.00362659,15.99637341,4.818181818,1.454215764,0.454545455,2,00-0031806,Malcolm,Brown,34,M.Brown
2019,REG,1,Leonard Fournette,RB,JAX,3.431212121,23.07692308,2.748692308,13,66,56.66152422,9.338475781,5.076923077,0.718344291,0.461538462,0,00-0033856,Leonard,Fournette,27,L.Fournette
2019,REG,1,Mark Ingram,RB,BAL,2.506261682,21.42857143,2.4905,14,107,55.43885747,47.56114253,7.642857143,3.658549425,0.615384615,2,00-0027966,Mark,Ingram,21,M.Ingram
2019,REG,1,Damien Williams,RB,KC,6.122692308,7.692307692,2.828769231,13,26,50.05078443,-24.05078443,2,-1.850060341,0.307692308,1,00-0030874,Damien,Williams,26,Dam.Williams
2019,REG,1,James Conner,RB,PIT,7.903333333,0,3.215,10,21,37.3007458,-16.3007458,2.1,-1.63007458,0.3,0,00-0033553,James,Conner,30,J.Conner
2019,REG,1,Chris Carson,RB,SEA,4.956304348,6.666666667,2.8878,15,46,52.41635831,-6.416358309,3.066666667,-0.427757221,0.266666667,1,00-0033594,Christopher,Carson,32,C.Carson
2019,REG,1,Frank Gore,RB,BUF,6.114,18.18181818,2.742272727,11,20,29.98199241,-9.98199241,1.818181818,-0.907453855,0.363636364,0,00-0023500,Frank,Gore,20,F.Gore
2019,REG,1,Aaron Jones,RB,GB,5.247948718,0,2.750923077,13,39,58.27121943,-19.27121943,3,-1.482401495,0.153846154,0,00-0033293,Aaron,Jones,33,A.Jones
2019,REG,1,Phillip Lindsay,RB,DEN,4.184651163,27.27272727,2.976090909,11,43,50.72781355,-7.727813547,3.909090909,-0.702528504,0.363636364,0,00-0034109,Phillip,Lindsay,30,P.Lindsay
2019,REG,1,Le'Veon Bell,RB,NYJ,3.789666667,11.76470588,2.899764706,17,60,48.6218616,11.3781384,3.529411765,0.669302259,0.588235294,0,00-0030496,Le'Veon,Bell,26,L.Bell
2019,REG,2,LeSean McCoy,RB,KC,8.283043478,9.090909091,2.884636364,11,23,46.50647727,-23.50647727,2.090909091,-2.136952479,0.272727273,0,00-0027029,LeSean,McCoy,25,L.McCoy
2019,REG,2,Leonard Fournette,RB,JAX,4.857446809,26.66666667,3.034933333,15,47,57.50835031,-10.50835031,3.133333333,-0.700556687,0.133333333,0,00-0033856,Leonard,Fournette,27,L.Fournette
2019,REG,2,Saquon Barkley,RB,NYG,2.76588785,5.555555556,2.7545,18,107,85.79142246,21.20857754,5.944444444,1.178254308,0.444444444,1,00-0034844,Saquon,Barkley,26,S.Barkley
2019,REG,2,Carlos Hyde,RB,HOU,3.161444444,5,2.6343,20,90,81.61886423,8.381135772,4.5,0.419056789,0.5,0,00-0031045,Carlos,Hyde,23,C.Hyde
2019,REG,2,Alvin Kamara,RB,NO,4.067333333,38.46153846,2.588384615,13,45,53.58860293,-8.588602935,3.461538462,-0.660661764,0.307692308,0,00-0033906,Alvin,Kamara,41,A.Kamara
2019,REG,2,Le'Veon Bell,RB,NYJ,4.172647059,19.04761905,2.971666667,21,68,75.40640899,-11.40640899,3.238095238,-0.570320449,0.35,0,00-0030496,Le'Veon,Bell,26,L.Bell
2019,REG,2,Mark Ingram,RB,BAL,4.071702128,46.15384615,2.907692308,13,47,55.62154879,-8.621548788,3.615384615,-0.663196061,0.307692308,0,00-0027966,Mark,Ingram,21,M.Ingram
2019,REG,2,Rashaad Penny,RB,SEA,2.664516129,0,2.6491,10,62,49.66700498,12.33299502,6.2,1.233299502,0.3,1,00-0034750,Rashaad,Penny,20,R.Penny
